site,keyword,title,url,snippet,date,image,section
Newcastle Herald,probe,Elderly woman on bail over assisted death drugs probe,https://www.newcastleherald.com.au/story/9067827/elderly-woman-on-bail-over-assisted-death-drugs-probe/,,Rex Martinich,https://www.newcastleherald.com.au/images/transform/v1/crop/frm/silverstone-feed-data/186f5c92-b3d0-4e0f-a4b4-8b8d5706b318.jpg/r100_0_700_600_w80_h80_fmax.jpg,
Newcastle Herald,court,Court asked to approve gas exploration off Hunter coast,https://www.newcastleherald.com.au/story/9066669/federal-court-hears-case-for-pep11-permit-extension-off-hunter-coast/,Asset Energy is appealing against the federal government's rejection of its exploration permit in the Federal Court.,Matthew Kelly,https://www.newcastleherald.com.au/images/transform/v1/crop/frm/UfX4XDhNMhVpTbjzWZdknP/9c648f27-240b-4c52-b62e-459540f4b8e2.jpg/r0_0_1920_1078_w454_h255_fmax.jpg,
