site,keyword,title,url,snippet,date,image,section
brisbanetimes,court,Why Clive’s court tangents ‘belittle his success’: court,https://www.brisbanetimes.com.au/national/queensland/i-m-always-under-persecution-palmer-defends-himself-in-fraud-case-20250912-p5muh5.html,"Billionaire Clive Palmer’s human rights might have been impeded because prosecutors failed to disclose documents against him for years, a magistrate has ruled.",,,Crime
brisbanetimes,court,Collapsed Aussie fashion giant unable to pay $25m court fine,https://www.brisbanetimes.com.au/business/companies/collapsed-aussie-fashion-giant-unable-to-pay-25-million-court-fine-20250911-p5mufl.html,"Although liquidators have uncovered potential insolvent trading and breaches of director duties, the claims have gone unpursued in the absence of funding.",,,Insolvency
brisbanetimes,court,Collapsed Aussie fashion giant unable to pay $25m court fine,https://www.brisbanetimes.com.au/business/companies/collapsed-aussie-fashion-giant-unable-to-pay-25-million-court-fine-20250911-p5mufl.html,,,https://static.ffx.io/images/$zoom_0.1018%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_0%2C$y_0/t_crop_custom/q_86%2Cf_auto/43cb0008644b12b6f89ed606e98bde2713c45a40,Insolvency
