site,keyword,title,url,snippet,date,image,section
theage,,‘I told you so’ moment for Albo as $1b computer bet pays off,https://www.theage.com.au/business/companies/i-told-you-so-moment-for-albo-as-1b-computer-bet-pays-off-20250911-p5mu8s.html,,,https://static.ffx.io/images/$zoom_0.35%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_95%2C$y_0/t_crop_custom/q_86%2Cf_auto/e3d0252d02187553d9086a8296970ce5f682e3df,Venture capital
theage,,Trump’s college dropout mate just became the world’s richest person,https://www.theage.com.au/business/companies/the-college-dropout-who-just-became-the-world-s-richest-person-20250911-p5mu4d.html,,,https://static.ffx.io/images/$zoom_0.4831889055472264%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_448%2C$y_109/t_crop_custom/q_86%2Cf_auto/520fefce5c3d301a0924bae665e96de2b15725be,Billionaires
theage,,More than 1 million Australians have a family trust. Should you too?,https://www.theage.com.au/money/investing/more-than-1-million-australians-have-a-family-trust-should-you-too-20250723-p5mh5w.html,,,https://static.ffx.io/images/$zoom_0.09%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_81%2C$y_0/t_crop_custom/q_86%2Cf_auto/3359cef1323c0aa244d26fab0c87e74752b9e5c3,Trusts
theage,,‘You all caused this’: US faces bitter reckoning as police search for gunman,https://www.theage.com.au/world/north-america/conservative-political-activist-charlie-kirk-shot-at-utah-university-20250911-p5mu3s.html,A “person of interest” was taken into custody and released. Donald Trump addressed the nation as the manhunt continues.,,https://static.ffx.io/images/$zoom_0.2227%2C$multiply_0.5515%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_120/t_crop_custom/q_86%2Cf_auto/3446dae70c13b7747f5928ccf8ef66872af48180,Violence
theage,,"As a maelstrom of hate descends, the US may be beyond help",https://www.theage.com.au/world/north-america/surely-american-life-just-cannot-go-on-like-this-20250911-p5mu4i.html,,,https://static.ffx.io/images/$zoom_0.7080966325036604%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_165%2C$y_0/t_crop_custom/q_86%2Cf_auto/8a4d664d3002bcd02367c03844e3f62c92766237,Violence
theage,,"Even before Kirk arrived, those in the crowd were uneasy",https://www.theage.com.au/world/north-america/a-lot-of-blood-witnesses-describe-the-charlie-kirk-shooting-20250911-p5mu6a.html,,,https://static.ffx.io/images/$zoom_0.189%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_144%2C$y_0/t_crop_custom/q_86%2Cf_auto/e74e17df9b8a2eff1b90c1d5244995a742727e33,Violence
theage,,"As Trump dithers, Putin brings crazy danger to Europe",https://www.theage.com.au/world/europe/crazy-danger-every-provocation-from-putin-highlights-trump-s-hesitation-20250911-p5mu3k.html,,,https://static.ffx.io/images/$zoom_0.6648530734632684%2C$multiply_0.254%2C$ratio_1%2C$width_378%2C$x_392%2C$y_53/t_crop_custom/q_86%2Cf_auto/c5d0bb7ba913453204d0d51fc8454701011b12f3,Trump diplomacy
theage,,"Her behaviour is bonkers, but the Liberal Party’s rank and file can’t get enough of Jacinta Price",https://www.theage.com.au/politics/federal/her-behaviour-is-bonkers-but-the-liberal-party-s-rank-and-file-can-t-get-enough-of-jacinta-price-20250910-p5mtu1.html,,,https://static.ffx.io/images/$zoom_0.8716%2C$multiply_0.6874%2C$ratio_1.777778%2C$width_1059%2C$x_0%2C$y_8/t_crop_custom/q_86%2Cf_auto/67ac03568c2c4578edad9a047f822b6b5fc88eff,Shaun Carney
theage,,Trump’s once-loyal conspiracy theorists are answering to a higher power,https://www.theage.com.au/national/trump-s-once-loyal-conspiracy-theorists-are-answering-to-a-higher-power-20250910-p5mtu2.html,,,,Katy Hall
theage,,"I told a complete stranger a secret. From now on, I’m sticking to small talk",https://www.theage.com.au/lifestyle/life-and-relationships/i-told-a-complete-stranger-a-secret-from-now-on-i-m-sticking-to-small-talk-20250910-p5mtx9.html,,,,Hannah Vanderheide
theage,,"The construction industry is in crisis, and it demands fixing. Now",https://www.theage.com.au/national/victoria/the-construction-industry-is-in-crisis-it-demands-fixing-now-20250909-p5mtms.html,,,,The Age's View
